 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Mean, Idle Std, Idle Max, Idle Min, Label
123,32284651,49,37,34643,21127,898,8,707.0,24.362,764,29,571.0,264.99,1727.446,2.664,375402.919,0,27348441,4233,32284651,0,0,0,0,0,0,0,0,0,0,0,980,740,1.518,1.146,26,1087,152.456,75.918,127636.753,0,0,0,0,1,0,0,0,0.76,563.357,707.394,168.83,980,49,34643,37,21127,8192,65535,48,20,0,0,0,0,0,0,0,0,BENIGN
8080,43752584,44,33,49544,38841,257,35,1126.0,22.729,431,17,1177.0,16.88,2020.109,1.76,568215.377,0,6559575,4159,43752584,0,0,0,0,0,0,0,0,0,0,0,880,660,1.006,0.754,28,1210,63.965,447.006,15842.209,0,0,0,0,1,0,0,0,0.75,635.749,429.017,498.625,880,44,49544,33,38841,65535,229,43,32,0,0,0,0,0,0,0,0,BENIGN
80,119823540,13,28,4160,25004,843,28,320.0,126.392,1414,15,893.0,171.335,243.391,0.342,2922525.366,0,28546742,2480,119823540,0,0,0,0,0,0,0,0,0,0,0,260,560,0.108,0.234,50,310,811.443,77.223,179029.971,0,0,0,0,1,0,0,0,2.15,257.673,158.039,442.253,260,13,4160,28,25004,-1,65535,12,32,0,0,0,0,0,0,0,0,BENIGN
445,89635024,115,82,106145,89790,440,22,923.0,127.41,789,1,1095.0,135.192,2185.92,38.12,455000.122,0,61561749,3608,89635024,0,0,0,0,0,0,0,0,0,0,0,2300,1640,1.283,0.915,45,97,370.536,258.717,73863.528,0,0,0,0,0,0,0,0,0.71,875.659,130.11,268.385,2300,115,106145,82,89790,-1,229,114,32,0,0,0,0,0,0,0,0,Bot
3389,56673997,347,132,302237,45540,1208,31,871.0,280.167,223,17,345.0,23.011,6136.447,189.243,118317.322,0,46184695,1501,56673997,0,0,0,0,0,0,0,0,0,0,0,6940,2640,6.123,2.329,27,208,271.274,8.416,22141.48,0,1,0,0,0,0,0,0,0.38,267.428,144.643,49.93,6940,347,302237,132,45540,65535,235,346,20,0,0,0,0,0,0,0,0,DoS Hulk
443,32002361,8,10,4608,1430,453,19,576.0,251.468,1127,13,143.0,115.984,188.674,0.562,1777908.944,0,16780189,1457,32002361,0,0,0,0,0,0,0,0,0,0,0,160,200,0.25,0.312,17,770,731.164,497.249,9237.338,0,0,0,0,0,0,0,0,1.25,482.242,251.284,424.468,160,8,4608,10,1430,65535,65535,7,32,0,0,0,0,0,0,0,0,BENIGN
443,41309942,45,13,22950,9633,1342,8,510.0,161.879,751,3,741.0,334.795,788.745,1.404,712240.379,0,956646,579,41309942,0,0,0,0,0,0,0,0,0,0,0,900,260,1.089,0.315,40,583,410.437,27.701,166306.92,0,0,0,1,1,0,0,0,0.29,554.949,635.71,78.904,900,45,22950,13,9633,8192,229,44,32,0,0,0,0,0,0,0,0,BENIGN
443,35331887,24,21,27840,14742,110,19,1160.0,87.146,414,0,702.0,134.133,1205.2,1.274,785153.044,0,5629801,3888,35331887,0,0,0,0,0,0,0,0,0,0,0,480,420,0.679,0.594,17,1089,604.175,124.09,194059.519,0,0,0,1,0,0,0,0,0.88,742.658,163.724,544.649,480,24,27840,21,14742,65535,-1,23,32,0,0,0,0,0,0,0,0,BENIGN
993,31247172,6,37,6738,13209,1261,24,1123.0,305.725,1052,9,357.0,113.671,638.362,1.376,726678.419,0,20760368,1185,31247172,0,0,0,0,0,0,0,0,0,0,0,120,740,0.192,1.184,2,1110,579.506,366.926,203054.729,0,0,0,0,0,0,0,0,6.17,750.712,542.293,807.834,120,6,6738,37,13209,8192,-1,5,20,0,0,0,0,0,0,0,0,BENIGN
22,85512783,185,53,150035,51092,1322,34,811.0,272.266,1042,16,964.0,1.326,2352.011,64.637,359297.408,0,9410211,4120,85512783,0,0,0,0,0,0,0,0,0,0,0,3700,1060,2.163,0.62,57,1156,119.07,262.995,186431.977,0,1,0,1,0,0,0,0,0.29,241.916,690.54,238.433,3700,185,150035,53,51092,65535,65535,184,32,0,0,0,0,0,0,0,0,DoS Hulk
993,91764200,19,49,2565,63847,1356,12,135.0,30.989,341,21,1303.0,101.576,723.725,0.741,1349473.529,0,40858177,4651,91764200,0,0,0,0,0,0,0,0,0,0,0,380,980,0.207,0.534,8,85,454.882,242.899,243127.252,0,0,0,0,0,0,0,0,2.58,621.109,290.137,484.221,380,19,2565,49,63847,65535,65535,18,32,0,0,0,0,0,0,0,0,BENIGN
8080,119945408,36,12,24408,2580,75,18,678.0,183.588,1077,28,215.0,397.587,225.002,0.4,2498862.667,0,51921907,1718,119945408,0,0,0,0,0,0,0,0,0,0,0,720,240,0.3,0.1,58,491,104.167,45.152,186871.545,0,0,0,1,1,0,0,0,0.33,154.04,745.387,477.52,720,36,24408,12,2580,-1,235,35,20,0,0,0,0,0,0,0,0,BENIGN
80,117594223,32,25,2880,9125,1046,28,90.0,162.168,328,26,365.0,137.584,102.088,0.485,2063056.544,0,42423278,990,117594223,0,0,0,0,0,0,0,0,0,0,0,640,500,0.272,0.213,53,738,41.498,375.367,209777.699,0,0,0,0,0,0,0,0,0.78,653.2,815.347,289.256,640,32,2880,25,9125,29200,-1,31,32,0,0,0,0,0,0,0,0,BENIGN
53,116765656,38,4,29564,3664,138,17,778.0,40.684,1395,18,916.0,253.985,284.57,0.36,2780134.667,0,19986951,2042,116765656,0,0,0,0,0,0,0,0,0,0,0,760,80,0.325,0.034,17,953,479.428,94.925,93337.321,0,0,0,0,1,0,0,0,0.11,738.288,582.57,825.545,760,38,29564,4,3664,8192,-1,37,20,0,0,0,0,0,0,0,0,BENIGN
53,55148188,29,39,9367,53001,1034,3,323.0,364.762,1166,8,1359.0,68.305,1130.917,1.233,811002.765,0,27841230,2815,55148188,0,0,0,0,0,0,0,0,0,0,0,580,780,0.526,0.707,18,669,259.939,369.373,163204.456,0,0,0,0,1,0,0,0,1.34,298.719,519.297,379.156,580,29,9367,39,53001,8192,229,28,20,0,0,0,0,0,0,0,0,BENIGN
445,108961516,255,281,124950,271727,915,8,490.0,219.114,539,5,967.0,69.878,3640.524,179.244,203286.41,0,74608158,746,108961516,0,0,0,0,0,0,0,0,0,0,0,5100,5620,2.34,2.579,20,549,356.743,404.679,50535.461,0,1,0,1,1,0,0,0,1.1,395.94,490.785,364.105,5100,255,124950,281,271727,29200,-1,254,32,0,0,0,0,0,0,0,0,DDoS
993,48337876,9,43,9630,48289,482,5,1070.0,108.408,548,24,1123.0,159.903,1198.212,1.076,929574.538,0,29921051,3537,48337876,0,0,0,0,0,0,0,0,0,0,0,180,860,0.186,0.89,19,104,149.432,212.6,190922.692,0,0,0,1,1,0,0,0,4.78,40.154,376.708,837.071,180,9,9630,43,48289,65535,65535,8,20,0,0,0,0,0,0,0,0,BENIGN
80,30037984,10,9,11090,12924,1365,29,1109.0,34.001,120,0,1436.0,312.919,799.454,0.633,1580946.526,0,7803984,4664,30037984,0,0,0,0,0,0,0,0,0,0,0,200,180,0.333,0.3,58,136,595.135,151.891,31991.712,0,0,0,1,1,0,0,0,0.9,640.78,136.434,100.503,200,10,11090,9,12924,8192,65535,9,32,0,0,0,0,0,0,0,0,BENIGN
21,80673029,1,5,1140,3285,687,15,1140.0,190.122,520,35,657.0,98.823,54.851,2.965,13445504.833,0,55272223,2518,80673029,0,0,0,0,0,0,0,0,0,0,0,20,100,0.012,0.062,3,104,206.939,442.424,161792.089,0,1,0,1,0,0,0,0,5.0,835.638,235.036,69.324,20,1,1140,5,3285,29200,65535,0,32,0,0,0,0,0,0,0,0,SSH-Patator
443,906435,52,18,55796,3204,1055,12,1073.0,124.686,437,14,178.0,186.046,65090.161,77.226,12949.071,0,277896,2416,906435,0,0,0,0,0,0,0,0,0,0,0,1040,360,57.368,19.858,6,1337,466.358,93.657,55831.035,0,0,0,0,1,0,0,0,0.35,855.935,165.889,378.376,1040,52,55796,18,3204,8192,-1,51,20,0,0,0,0,0,0,0,0,BENIGN
993,95275608,4,11,3380,10560,683,7,845.0,399.012,379,21,960.0,76.273,146.312,0.157,6351707.2,0,87572806,4299,95275608,0,0,0,0,0,0,0,0,0,0,0,80,220,0.042,0.115,47,1017,67.429,332.215,94654.854,0,0,0,1,1,0,0,0,2.75,420.494,133.704,107.288,80,4,3380,11,10560,-1,235,3,32,0,0,0,0,0,0,0,0,BENIGN
53,16603845,36,48,16704,39264,672,27,464.0,35.104,1009,12,818.0,149.086,3370.786,5.059,197664.821,0,15426758,3656,16603845,0,0,0,0,0,0,0,0,0,0,0,720,960,2.168,2.891,12,722,353.254,448.497,7570.514,0,0,0,0,1,0,0,0,1.33,738.169,699.334,74.959,720,36,16704,48,39264,-1,65535,35,20,0,0,0,0,0,0,0,0,BENIGN
53,8322023,17,12,2856,15360,783,17,168.0,133.988,1303,2,1280.0,104.869,2188.891,3.485,286966.31,0,6011577,2592,8322023,0,0,0,0,0,0,0,0,0,0,0,340,240,2.043,1.442,59,624,295.769,360.786,148892.039,0,0,0,0,0,0,0,0,0.71,750.376,132.245,655.391,340,17,2856,12,15360,65535,65535,16,32,0,0,0,0,0,0,0,0,BENIGN
80,109360639,32,8,33792,3312,661,9,1056.0,242.902,711,20,414.0,184.312,339.281,0.366,2734015.975,0,105204289,4880,109360639,0,0,0,0,0,0,0,0,0,0,0,640,160,0.293,0.073,5,1108,209.688,376.443,61826.878,0,0,0,0,0,0,0,0,0.25,454.253,508.37,178.195,640,32,33792,8,3312,65535,-1,31,20,0,0,0,0,0,0,0,0,BENIGN
445,11285376,107,49,96514,51940,394,14,902.0,53.172,983,39,1060.0,356.505,13154.546,546.852,72342.154,0,3941527,4411,11285376,0,0,0,0,0,0,0,0,0,0,0,2140,980,9.481,4.342,54,1420,693.227,389.875,73480.854,0,1,0,1,1,0,0,0,0.46,258.489,263.888,417.882,2140,107,96514,49,51940,8192,229,106,20,0,0,0,0,0,0,0,0,PortScan
53,77615530,13,20,2236,17020,543,32,172.0,210.523,1370,6,851.0,261.331,248.095,0.425,2351985.758,0,4969163,838,77615530,0,0,0,0,0,0,0,0,0,0,0,260,400,0.167,0.258,0,1032,799.23,115.557,112074.289,0,0,0,0,1,0,0,0,1.54,794.119,240.288,83.336,260,13,2236,20,17020,8192,-1,12,32,0,0,0,0,0,0,0,0,BENIGN
80,23858410,29,38,16588,53238,256,40,572.0,238.459,1309,22,1401.0,87.058,2926.683,2.808,356095.672,0,12371807,2785,23858410,0,0,0,0,0,0,0,0,0,0,0,580,760,1.216,1.593,9,150,215.42,127.457,149855.842,0,0,0,0,0,0,0,0,1.31,744.196,391.736,359.756,580,29,16588,38,53238,29200,-1,28,20,0,0,0,0,0,0,0,0,BENIGN
445,66521693,281,247,47489,216125,1399,35,169.0,61.821,1133,5,875.0,261.223,3962.828,46.455,125988.055,0,26694036,2221,66521693,0,0,0,0,0,0,0,0,0,0,0,5620,4940,4.224,3.713,26,640,614.317,208.923,12840.171,0,0,0,1,1,0,0,0,0.88,398.143,783.252,897.094,5620,281,47489,247,216125,29200,229,280,32,0,0,0,0,0,0,0,0,SSH-Patator
80,788744,28,10,25396,2720,871,36,907.0,353.135,983,10,272.0,51.99,35646.547,48.178,20756.421,0,54207,4518,788744,0,0,0,0,0,0,0,0,0,0,0,560,200,35.499,12.678,9,1372,733.563,198.36,143216.127,0,0,0,0,1,0,0,0,0.36,165.463,283.634,488.197,560,28,25396,10,2720,-1,-1,27,32,0,0,0,0,0,0,0,0,BENIGN
80,108020255,51,12,33507,3588,1028,20,657.0,21.35,1343,24,299.0,34.518,343.408,0.583,1714607.222,0,95604668,1312,108020255,0,0,0,0,0,0,0,0,0,0,0,1020,240,0.472,0.111,40,514,574.106,307.365,49028.236,0,0,0,0,1,0,0,0,0.24,526.267,75.873,847.152,1020,51,33507,12,3588,8192,65535,50,32,0,0,0,0,0,0,0,0,BENIGN
22,33159684,372,98,46128,116718,1407,20,124.0,47.092,1267,29,1191.0,220.021,4910.964,482.115,70552.519,0,21040053,2508,33159684,0,0,0,0,0,0,0,0,0,0,0,7440,1960,11.218,2.955,41,920,305.062,124.629,97303.014,0,1,0,0,1,0,0,0,0.26,60.103,572.247,460.971,7440,372,46128,98,116718,8192,65535,371,32,0,0,0,0,0,0,0,0,Bot
21,63514359,205,54,36285,16362,227,28,177.0,201.737,1385,2,303.0,16.261,828.899,63.719,245229.185,0,8742337,673,63514359,0,0,0,0,0,0,0,0,0,0,0,4100,1080,3.228,0.85,59,702,708.767,255.741,13566.233,0,1,0,0,1,0,0,0,0.26,62.237,97.087,568.146,4100,205,36285,54,16362,-1,229,204,20,0,0,0,0,0,0,0,0,DoS GoldenEye
993,108849897,59,50,22302,72250,492,4,378.0,333.214,1290,16,1445.0,63.507,868.646,1.001,998622.908,0,82346834,2252,108849897,0,0,0,0,0,0,0,0,0,0,0,1180,1000,0.542,0.459,57,994,163.472,251.109,229976.953,0,0,0,1,0,0,0,0,0.85,569.645,244.163,360.15,1180,59,22302,50,72250,8192,229,58,32,0,0,0,0,0,0,0,0,BENIGN
21,37339127,348,167,282228,64295,275,33,811.0,19.429,776,28,385.0,222.072,9280.426,442.749,72503.159,0,7020178,2064,37339127,0,0,0,0,0,0,0,0,0,0,0,6960,3340,9.32,4.473,34,1349,776.675,368.962,92866.555,0,1,0,0,1,0,0,0,0.48,349.816,697.59,420.362,6960,348,282228,167,64295,8192,-1,347,32,0,0,0,0,0,0,0,0,Bot
993,41617219,41,37,57359,25160,43,2,1399.0,88.655,635,39,680.0,250.247,1982.809,1.874,533554.09,0,28030498,4199,41617219,0,0,0,0,0,0,0,0,0,0,0,820,740,0.985,0.889,23,157,153.54,113.63,163277.106,0,0,0,0,0,0,0,0,0.9,42.249,345.268,131.472,820,41,57359,37,25160,29200,229,40,32,0,0,0,0,0,0,0,0,BENIGN
8080,79066538,9,13,7110,17121,364,8,790.0,5.645,538,9,1317.0,180.341,306.463,0.278,3593933.545,0,8545461,1185,79066538,0,0,0,0,0,0,0,0,0,0,0,180,260,0.114,0.164,55,1422,712.654,200.976,66059.96,0,0,0,0,0,0,0,0,1.44,594.655,523.605,341.286,180,9,7110,13,17121,65535,65535,8,20,0,0,0,0,0,0,0,0,BENIGN
23,53631,23,31,25944,2821,366,3,1128.0,364.697,254,0,91.0,245.056,536350.245,17547.479,993.167,0,43045,1615,53631,0,0,0,0,0,0,0,0,0,0,0,460,620,428.856,578.024,9,906,211.586,304.041,126737.054,0,1,0,1,0,0,0,0,1.35,94.84,578.329,894.893,460,23,25944,31,2821,65535,-1,22,32,0,0,0,0,0,0,0,0,Bot
443,62446886,6,47,8292,45402,502,6,1382.0,104.571,1358,2,966.0,49.307,859.835,0.849,1178243.132,0,59812381,2156,62446886,0,0,0,0,0,0,0,0,0,0,0,120,940,0.096,0.753,45,167,268.749,276.894,109013.181,0,0,0,1,1,0,0,0,7.83,592.123,870.021,226.616,120,6,8292,47,45402,-1,229,5,32,0,0,0,0,0,0,0,0,BENIGN
443,112974135,48,12,17568,8508,836,21,366.0,240.492,817,40,709.0,368.671,230.814,0.531,1882902.25,0,89286496,4393,112974135,0,0,0,0,0,0,0,0,0,0,0,960,240,0.425,0.106,30,1026,762.152,348.809,214380.689,0,0,0,0,1,0,0,0,0.25,530.493,304.666,222.291,960,48,17568,12,8508,-1,229,47,20,0,0,0,0,0,0,0,0,BENIGN
22,15018031,55,82,41030,27060,125,8,746.0,277.05,1338,2,330.0,278.803,4533.883,261.156,109620.664,0,12361206,382,15018031,0,0,0,0,0,0,0,0,0,0,0,1100,1640,3.662,5.46,4,1269,695.121,99.656,238642.441,0,1,0,1,0,0,0,0,1.49,132.12,216.922,136.294,1100,55,41030,82,27060,-1,-1,54,32,0,0,0,0,0,0,0,0,DoS GoldenEye
21,13134791,388,104,249484,72072,82,22,643.0,102.681,618,3,693.0,286.305,24481.242,553.911,26696.73,0,6174424,2628,13134791,0,0,0,0,0,0,0,0,0,0,0,7760,2080,29.54,7.918,49,1292,473.214,425.689,154568.964,0,1,0,0,1,0,0,0,0.27,415.347,704.802,338.232,7760,388,249484,104,72072,-1,229,387,20,0,0,0,0,0,0,0,0,FTP-Patator
53,22866844,28,0,31136,0,150,0,1112.0,139.121,235,31,0.0,278.083,1361.622,1.224,816673.0,0,6191437,4051,22866844,0,0,0,0,0,0,0,0,0,0,0,560,0,1.224,0.0,37,771,863.198,257.57,144501.848,0,0,0,1,0,0,0,0,0.0,741.107,846.929,239.114,560,28,31136,0,0,8192,-1,27,20,0,0,0,0,0,0,0,0,BENIGN
53,93571009,36,50,9144,66300,768,6,254.0,160.508,848,5,1326.0,168.852,806.275,0.919,1088034.988,0,86686223,206,93571009,0,0,0,0,0,0,0,0,0,0,0,720,1000,0.385,0.534,23,482,300.701,214.03,136234.242,0,0,0,1,0,0,0,0,1.39,884.873,582.44,851.771,720,36,9144,50,66300,8192,-1,35,32,0,0,0,0,0,0,0,0,BENIGN
993,70025709,10,28,13950,32872,702,10,1395.0,185.263,1451,16,1174.0,231.668,668.64,0.543,1842781.816,0,16919091,2736,70025709,0,0,0,0,0,0,0,0,0,0,0,200,560,0.143,0.4,29,1376,801.208,118.97,47893.448,0,0,0,0,1,0,0,0,2.8,662.069,878.3,661.918,200,10,13950,28,32872,29200,229,9,20,0,0,0,0,0,0,0,0,BENIGN
993,25403848,17,46,4216,17342,248,12,248.0,153.693,343,19,377.0,293.317,848.612,2.48,403235.683,0,14593595,2243,25403848,0,0,0,0,0,0,0,0,0,0,0,340,920,0.669,1.811,12,283,588.664,53.435,51610.991,0,0,0,1,1,0,0,0,2.71,69.181,383.158,720.264,340,17,4216,46,17342,8192,235,16,32,0,0,0,0,0,0,0,0,BENIGN
445,34522620,310,207,15810,110952,1215,37,51.0,299.64,902,14,536.0,267.158,3671.853,546.675,66774.894,0,15341500,1486,34522620,0,0,0,0,0,0,0,0,0,0,0,6200,4140,8.98,5.996,41,314,430.356,156.507,157069.235,0,1,0,0,1,0,0,0,0.67,712.845,653.309,581.469,6200,310,15810,207,110952,29200,65535,309,32,0,0,0,0,0,0,0,0,DoS GoldenEye
23,115230953,210,265,298620,369145,1380,20,1422.0,311.272,836,31,1393.0,363.277,5795.014,153.952,242591.48,0,14278085,312,115230953,0,0,0,0,0,0,0,0,0,0,0,4200,5300,1.822,2.3,16,1172,227.378,358.108,237831.565,0,1,0,0,1,0,0,0,1.26,768.557,432.835,216.284,4200,210,298620,265,369145,65535,-1,209,32,0,0,0,0,0,0,0,0,FTP-Patator
8080,99604309,30,13,43230,5408,1092,7,1441.0,291.643,1297,22,416.0,255.028,488.312,0.432,2316379.279,0,33884302,2247,99604309,0,0,0,0,0,0,0,0,0,0,0,600,260,0.301,0.131,24,878,92.893,37.592,228858.915,0,0,0,1,1,0,0,0,0.43,133.962,301.006,384.411,600,30,43230,13,5408,8192,65535,29,32,0,0,0,0,0,0,0,0,BENIGN
3389,17354243,398,35,532922,15225,502,9,1339.0,141.253,1348,26,435.0,187.24,31585.763,494.723,40079.083,0,9876490,4491,17354243,0,0,0,0,0,0,0,0,0,0,0,7960,700,22.934,2.017,41,316,710.668,234.701,195898.367,0,1,0,1,1,0,0,0,0.09,885.286,623.784,454.149,7960,398,532922,35,15225,29200,235,397,20,0,0,0,0,0,0,0,0,SSH-Patator
80,64364120,32,27,42112,36315,1390,23,1316.0,61.101,660,24,1345.0,22.825,1218.489,0.917,1090917.288,0,55559421,4625,64364120,0,0,0,0,0,0,0,0,0,0,0,640,540,0.497,0.419,57,724,714.273,70.201,207832.0,0,0,0,0,0,0,0,0,0.84,220.385,101.92,291.973,640,32,42112,27,36315,-1,229,31,20,0,0,0,0,0,0,0,0,BENIGN
23,60661015,178,78,83126,67392,1288,38,467.0,390.87,225,35,864.0,315.23,2481.297,135.398,236957.09,0,56291118,2433,60661015,0,0,0,0,0,0,0,0,0,0,0,3560,1560,2.934,1.286,12,1072,635.802,265.398,185477.985,0,1,0,0,0,0,0,0,0.44,267.465,241.391,159.831,3560,178,83126,78,67392,65535,-1,177,32,0,0,0,0,0,0,0,0,DoS GoldenEye
123,94009000,32,15,33920,5655,1267,0,1060.0,64.143,696,29,377.0,278.354,420.97,0.5,2000191.489,0,66787614,2431,94009000,0,0,0,0,0,0,0,0,0,0,0,640,300,0.34,0.16,53,1013,362.464,209.408,240153.385,0,0,0,0,0,0,0,0,0.47,587.855,587.068,64.535,640,32,33920,15,5655,-1,235,31,20,0,0,0,0,0,0,0,0,BENIGN
993,65052052,49,9,5341,4284,891,40,109.0,50.761,233,23,476.0,136.525,147.958,0.892,1121587.103,0,52245861,4305,65052052,0,0,0,0,0,0,0,0,0,0,0,980,180,0.753,0.138,35,491,284.37,170.978,62892.989,0,0,0,1,0,0,0,0,0.18,291.879,751.851,387.208,980,49,5341,9,4284,29200,235,48,20,0,0,0,0,0,0,0,0,BENIGN
993,106293883,8,21,3464,14469,652,8,433.0,234.58,1340,5,689.0,313.686,168.711,0.273,3665306.31,0,5375568,3267,106293883,0,0,0,0,0,0,0,0,0,0,0,160,420,0.075,0.198,46,1195,801.617,272.701,12424.896,0,0,0,0,1,0,0,0,2.62,45.341,203.349,832.431,160,8,3464,21,14469,-1,65535,7,20,0,0,0,0,0,0,0,0,BENIGN
